Id,SalePrice
1461,127205.5
1462,150377.0
1463,185334.4
1464,185835.82
1465,205297.84
1466,181704.25
1467,169778.99
1468,175414.57
1469,183578.76
1470,130289.28
1471,192923.47
1472,99777.0
1473,104272.33
1474,155404.0
1475,137683.24
1476,366994.29
1477,257769.9
1478,305245.18
1479,262075.28
1480,429647.94
1481,293049.7
1482,210234.08
1483,176825.61
1484,178700.66
1485,170013.89
1486,196988.5
1487,308155.34
1488,231847.2
1489,213908.5
1490,202005.78
1491,189523.09
1492,97013.98
1493,167494.92
1494,286586.9
1495,302248.15
1496,223429.38
1497,186553.25
1498,154983.34
1499,153193.65
1500,153300.3
1501,174277.06
1502,161454.9
1503,321693.45
1504,231429.75
1505,213063.72
1506,188144.48
1507,220625.74
1508,198848.98
1509,161394.32
1510,152479.87
1511,149065.7
1512,177218.84
1513,141655.98
1514,174741.84
1515,193087.34
1516,160502.8
1517,152679.25
1518,126096.51
1519,230000.75
1520,138666.75
1521,142104.25
1522,163473.0
1523,115591.76
1524,122917.16
1525,129944.91
1526,130097.3
1527,104396.0
1528,128496.5
1529,142444.5
1530,168695.5
1531,134066.68
1532,106989.0
1533,148538.54
1534,119666.1
1535,162753.68
1536,120036.29
1537,79271.4
1538,185755.69
1539,231163.3
1540,114228.91
1541,150364.37
1542,146643.68
1543,229421.29
1544,78882.3
1545,108111.5
1546,120450.43
1547,145323.18
1548,137533.89
1549,115988.31
1550,145522.34
1551,115546.09
1552,145193.4
1553,149387.61
1554,111748.41
1555,171694.82
1556,101849.37
1557,134958.24
1558,98062.41
1559,126434.4
1560,153665.04
1561,163503.81
1562,129518.58
1563,125764.0
1564,163476.51
1565,156821.15
1566,208095.11
1567,84631.15
1568,218573.4
1569,153300.15
1570,131625.0
1571,139045.93
1572,147443.5
1573,237529.92
1574,122091.44
1575,212816.25
1576,217122.0
1577,210379.1
1578,149486.97
1579,145544.3
1580,187756.35
1581,139246.09
1582,129678.2
1583,337591.52
1584,244890.3
1585,144239.0
1586,79000.2
1587,107300.84
1588,146214.79
1589,100170.33
1590,129862.84
1591,103568.63
1592,127240.54
1593,118122.5
1594,136381.53
1595,125453.37
1596,237410.59
1597,173895.8
1598,189353.2
1599,212026.75
1600,195613.15
1601,78808.53
1602,115466.6
1603,97684.09
1604,296987.45
1605,251153.3
1606,166048.32
1607,157906.93
1608,211666.67
1609,199818.78
1610,165901.69
1611,147557.05
1612,168017.32
1613,166618.93
1614,120419.16
1615,88667.5
1616,83810.0
1617,97005.83
1618,126344.58
1619,136470.58
1620,151365.15
1621,137842.15
1622,153077.34
1623,297954.17
1624,208456.36
1625,130626.41
1626,173564.0
1627,188066.5
1628,281910.21
1629,176430.79
1630,356850.41
1631,223537.85
1632,243545.7
1633,168376.03
1634,183565.53
1635,173974.35
1636,159763.23
1637,174628.27
1638,215787.0
1639,174883.64
1640,250074.67
1641,178471.3
1642,216903.6
1643,226882.75
1644,218565.47
1645,184082.5
1646,152911.24
1647,157691.07
1648,141248.8
1649,136337.0
1650,124359.26
1651,123432.82
1652,98849.5
1653,100314.5
1654,155842.0
1655,153509.71
1656,150556.59
1657,156272.0
1658,154042.09
1659,144659.02
1660,148380.0
1661,442130.16
1662,383967.93
1663,383606.66
1664,421860.08
1665,311060.49
1666,327810.11
1667,329036.07
1668,328146.03
1669,297394.28
1670,335158.55
1671,269712.05
1672,431558.49
1673,297991.05
1674,247209.06
1675,188157.3
1676,191294.47
1677,210830.59
1678,438737.48
1679,362275.08
1680,327730.9
1681,270049.78
1682,291642.23
1683,184885.66
1684,170520.15
1685,172836.8
1686,173294.88
1687,169045.44
1688,188464.43
1689,192270.7
1690,182153.15
1691,170452.67
1692,265716.06
1693,169795.4
1694,185047.65
1695,167789.78
1696,268104.04
1697,169693.07
1698,331274.95
1699,328226.28
1700,244309.67
1701,264333.75
1702,247483.47
1703,247935.81
1704,301067.41
1705,227745.57
1706,420233.69
1707,218225.83
1708,221087.19
1709,277572.14
1710,218942.17
1711,259726.2
1712,253312.92
1713,253932.14
1714,220057.18
1715,192581.0
1716,182095.75
1717,165122.02
1718,130416.55
1719,205687.65
1720,251426.61
1721,164602.95
1722,125266.54
1723,158634.5
1724,218402.66
1725,225691.4
1726,190768.22
1727,172625.69
1728,188554.3
1729,167321.62
1730,157695.31
1731,123650.0
1732,131897.0
1733,127879.33
1734,131748.17
1735,133076.0
1736,116846.73
1737,364091.73
1738,219649.0
1739,268958.36
1740,191232.97
1741,180572.6
1742,174049.96
1743,178071.6
1744,307094.45
1745,237742.44
1746,256152.76
1747,223012.61
1748,205875.4
1749,162979.82
1750,145820.09
1751,228140.51
1752,124021.5
1753,139689.54
1754,220861.66
1755,161780.59
1756,124203.07
1757,120570.0
1758,146455.5
1759,175003.72
1760,159573.82
1761,151558.87
1762,177125.4
1763,168114.0
1764,119045.54
1765,173831.84
1766,174813.24
1767,201614.78
1768,139509.2
1769,165116.03
1770,141343.0
1771,134545.8
1772,147433.5
1773,135240.5
1774,132385.27
1775,130029.71
1776,123613.43
1777,118446.75
1778,127862.09
1779,118480.0
1780,178698.1
1781,130843.71
1782,102850.43
1783,129925.22
1784,100682.26
1785,118098.78
1786,156323.46
1787,174793.78
1788,67630.74
1789,100367.39
1790,90103.2
1791,172905.32
1792,150530.5
1793,139405.93
1794,144203.16
1795,135227.75
1796,123625.64
1797,117824.52
1798,125502.75
1799,113855.16
1800,132522.57
1801,139872.92
1802,154218.14
1803,146023.45
1804,140996.37
1805,136031.0
1806,112707.82
1807,151401.5
1808,125762.85
1809,130866.78
1810,148923.68
1811,116779.28
1812,114054.86
1813,122615.83
1814,100881.2
1815,66078.47
1816,104685.54
1817,122495.29
1818,130118.48
1819,118098.88
1820,81305.0
1821,115695.57
1822,148311.34
1823,64045.44
1824,133117.87
1825,139666.51
1826,104919.59
1827,112140.17
1828,141564.68
1829,108279.02
1830,138886.6
1831,174509.0
1832,112578.77
1833,148466.74
1834,132911.86
1835,187928.4
1836,126170.67
1837,103987.26
1838,138616.79
1839,89355.03
1840,161453.01
1841,149618.45
1842,95419.93
1843,142472.45
1844,138052.66
1845,143470.3
1846,148839.25
1847,153828.37
1848,72684.45
1849,119282.51
1850,128290.08
1851,155684.71
1852,123875.47
1853,132704.5
1854,170514.66
1855,148355.33
1856,227663.63
1857,162812.16
1858,138724.4
1859,124859.71
1860,152014.64
